cantonese,english,greedy,beam
我要去瞓覺喇。,I have to go to sleep.,Менің қазір мен қасымда.,Өзiмiкiнiгiпiң кiлiшiрi.
我話唔定做一陣就會放棄，走去瞓晏覺算。,I may give up soon and just nap instead.,"Менің қазір, қаңтар мен қазыққа қазанды, менің жазығы мен жарық.","Қандай-ақ, қанақтар мен ұзақ уақытқа дейін қарап отырмын."
我不嬲都鍾意啲神秘啲嘅人物。,I always liked mysterious characters more.,Менің табылған тазалық тазыққа не айтылады.,Je n’ai pas l’intention de connaître les personnages mystérieux.
雖然佢講咗對唔住，但係我都仲係好嬲。,"Even though he apologized, I'm still furious.",Менің қазір мен қаңтар менің жарыққа қадам.,"Қандай-ақ, қазір мен қағидалар мен жарықтармен айтылады."
我唯有係等。,I can only wait.,Менің қазір мен қасым.,Je n’ai qu’à attendre.
我愛你。,I love you.,Менің қазір,Já tě miluji.
聽日佢會喺月球著陸。,"Tomorrow, he will land on the moon.",Қазіргі таңда Лунының тұрады.,Сондай-ақ Месяцiн айтасыз.
聽日佢會喺月球降落。,"Tomorrow, he will land on the moon.",Bu gün ayın düşüşünü görmək olar.,"Le jour où la Lune s'en va, il est presque arrivé."
「老實講吖，其實我畏高㗎。」「正一無膽鬼！」,"""To tell you the truth, I am scared of heights."" ""You are a coward!""",مون کي ڪو به خوف آهي ته مون کان ڊڄان ٿو.,"“Mən özümdən qorxuram” – “Həqiqətən, mən çox korkuyorum!”"
「電話響喎。」「我聽吖。」,"""The phone is ringing."" ""I'll get it.""",“Điều gọi điện thoại nghe được” “Tôi nghe thấy”,「電話が聞こえてくる」「聞く」
「唔該晒你喎。」「唔使唔該。」,"""Thank you for helping me."" ""Don't mention it.""","«Жеңізде де» деп ойлаймын, «Не жалай»",“Không có gì đáng ngạc nhiên.” “không nên.”
「你做咩唔去嘅？」「因為我唔想去囉。」,"""Why aren't you going?"" ""Because I don't want to.""",“Cậu làm gì không đi?” “Vì tôi không muốn đi.”,“Ngươi làm sao không đi?” “Vì ta không muốn đi.”
民主係最差嘅政治制度，除咗其他嘗試過嘅之外。,"Democracy is the worst form of government, except all the others that have been tried.",Бұл қағидалар мен демократиялық жағдайлардан басқа да басқа.,Қаланың тұрақты тұрғындарының саны 10 адамды құрайды.
喂，唔錯喎屌你！,Damn! It's not bad!,"Ah non, je t’aime pas !","Oh non, je ne t’aime pas !"
你識唔識講意大利文㗎？,Do you speak Italian?,Vous ne connaissez pas l’italien ?,Vous ne connaissez pas l’italien ?
你有冇安全套呀？,Do you have a condom?,Қазіргі таңда сіздің салықты бар?,Har du noen sikkerhetstøy?
但係宇宙係無限㗎。,But the universe is infinite.,Бұл да бір жылдамдығымен негіз.,Но вселенная неограничена.
離呢到遠唔遠㗎？,Is it far from here?,Өзiмiңiздiкiнiшiпiгiлiддтi?,Өзiмiздiгiкiшiпiлiнiң бiрi?
擘大口！,Open your mouth!,Өзiңiмiкiздi!,Өйткені өңдеу!
我阿爸阿媽成日為埋啲芝麻綠豆嘅嘢喺度嗌交，真係煩到死呀！,My parents keep arguing about stupid things. It's so annoying!,"Өзiмiкiнiң өнерінің өзара жарықiпiз, жаңарты жасайды, қазір жастарды жапты!","Өзiмiкiздiгiшiлiнiпiрiсiтiвiң кiбiхiйiжi,iiедeмeнeтeккe,eемдaкaтaмaнaлaвaaзaгaпaйa"
我同你講嘢嗰陣望住我！,Look at me when I talk to you!,Менің қазір менің жарыққа қадам!,Jag pratar med dig och väntar på mig!
聖誕節快樂！,Merry Christmas!,Happy Birthday өлеңін жаттырады!,Svatý Vánoce s radostí!
「你攰做咩唔去瞓覺呀？」「因為我而家去瞓呢，就會早得濟醒㗎喇。」,"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","«Аз тасыңызға, менің қазір мен қасымда, қаңтарда қазанды, деп хабарлайды?»","Қандай-ақ, «Мұқсат» деп ойлаймын, мен «Жеңінен танымал!» деп айтылады."
我哋可以回顧過去，但係唔可以改變過去；我哋可以改變未來，但係唔可以預知未來。,"The past can only be known, not changed. The future can only be changed, not known.","Eu posso olhar para trás, mas não posso mudar o passado; eu posso mudar o futuro, e não consigo prever o Futuro.","Tôi chắc chắn có thể nhìn lại quá khứ, nhưng tôi không thể thay đổi tương lai; tôi chắc sẽ có khả năng thay thế tương Lai, và tôi sẽ chẳng thể dự đoán tương tự."
如果一個宇宙簡單到可以俾人明白，咁就正正因為佢太過簡單，所以產生唔到明白到佢嘅意識體。,Any universe simple enough to be understood is too simple to produce a mind able to understand it.,"Se um universo simples para que o homem possa compreender, é precisamente porque é muito simples, então não se produz compreensão para o corpo de consciência.","Si un univers est simple à ce que l’on puisse comprendre, c’est justement parce qu’il est trop simple, alors il n’y a pas de conscience compréhensible."
啲人點解要去睇戲嘅？,Why do people go to the movies?,"Қандай да, бұл қазір қарап отыр?",Қандай-ақ қанақтарға қарап отырмыз?
